Route,Date of Journey,Departure Time,Departure Station,Arrival Destination,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Delay in Minutes,Trip ID,Day Type
London Euston to Birmingham New Street,1/15/2024,21:30:00,London Euston,Birmingham New Street,22:50:00,22:50:00,On Time,No delay,0,2300,Weekday
London Kings Cross to York,1/15/2024,1:00:00,London Kings Cross,York,2:50:00,,Cancelled,Signal Failure,,2301,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,1:00:00,Manchester Piccadilly,Liverpool Lime Street,1:30:00,1:30:00,On Time,No delay,0,2302,Weekday
London Paddington to Reading,1/15/2024,22:00:00,London Paddington,Reading,23:00:00,23:00:00,On Time,No delay,0,2303,Weekday
London Euston to Manchester Piccadilly,1/15/2024,22:15:00,London Euston,Manchester Piccadilly,0:05:00,0:05:00,On Time,No delay,0,2304,Weekday
Oxford to Bristol Temple Meads,1/16/2024,22:30:00,Oxford,Bristol Temple Meads,23:45:00,23:45:00,On Time,No delay,0,2305,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/15/2024,1:30:00,Liverpool Lime Street,Manchester Piccadilly,2:00:00,2:00:00,On Time,No delay,0,2306,Weekday
London Paddington to Reading,1/15/2024,1:30:00,London Paddington,Reading,2:30:00,2:30:00,On Time,No delay,0,2307,Weekday
Manchester Piccadilly to Nottingham,1/15/2024,2:00:00,Manchester Piccadilly,Nottingham,3:00:00,3:00:00,On Time,No delay,0,2308,Weekday
London Euston to Birmingham New Street,1/15/2024,2:15:00,London Euston,Birmingham New Street,3:35:00,3:35:00,On Time,No delay,0,2309,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,23:30:00,Liverpool Lime Street,Manchester Piccadilly,0:00:00,,Cancelled,Weather Conditions,,2310,Weekday
London Euston to Birmingham New Street,1/16/2024,23:30:00,London Euston,Birmingham New Street,0:50:00,0:50:00,On Time,No delay,0,2311,Weekday
London Kings Cross to York,1/15/2024,3:00:00,London Kings Cross,York,4:50:00,4:50:00,On Time,No delay,0,2312,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,0:00:00,Liverpool Lime Street,Manchester Piccadilly,0:30:00,0:30:00,On Time,No delay,0,2313,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,3:15:00,Manchester Piccadilly,Liverpool Lime Street,3:45:00,3:45:00,On Time,No delay,0,2314,Weekday
London Kings Cross to York,1/16/2024,0:30:00,London Kings Cross,York,2:20:00,2:20:00,On Time,No delay,0,2315,Weekday
Manchester Piccadilly to London Euston,1/15/2024,3:30:00,Manchester Piccadilly,London Euston,5:20:00,6:02:00,Delayed,Weather Conditions,42,2316,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,0:45:00,Liverpool Lime Street,Manchester Piccadilly,1:15:00,1:15:00,On Time,No delay,0,2317,Weekday
London Paddington to Reading,1/15/2024,4:00:00,London Paddington,Reading,5:00:00,5:00:00,On Time,No delay,0,2318,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,1:30:00,Liverpool Lime Street,Manchester Piccadilly,2:00:00,2:00:00,On Time,No delay,0,2319,Weekday
London St Pancras to Birmingham New Street,1/16/2024,1:45:00,London St Pancras,Birmingham New Street,3:05:00,3:05:00,On Time,No delay,0,2320,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,1:45:00,Liverpool Lime Street,Manchester Piccadilly,2:15:00,2:15:00,On Time,No delay,0,2321,Weekday
London Euston to Manchester Piccadilly,1/15/2024,5:00:00,London Euston,Manchester Piccadilly,6:50:00,6:50:00,On Time,No delay,0,2322,Weekday
London St Pancras to Birmingham New Street,1/16/2024,2:00:00,London St Pancras,Birmingham New Street,3:20:00,3:20:00,On Time,No delay,0,2323,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,2:00:00,Liverpool Lime Street,Manchester Piccadilly,2:30:00,2:30:00,On Time,No delay,0,2324,Weekday
London Kings Cross to Liverpool Lime Street,1/15/2024,5:00:00,London Kings Cross,Liverpool Lime Street,7:15:00,7:15:00,On Time,No delay,0,2325,Weekday
London Euston to Birmingham New Street,1/16/2024,2:15:00,London Euston,Birmingham New Street,3:35:00,3:35:00,On Time,No delay,0,2326,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/15/2024,5:15:00,Liverpool Lime Street,Manchester Piccadilly,5:45:00,5:45:00,On Time,No delay,0,2327,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,2:30:00,Manchester Piccadilly,Liverpool Lime Street,3:00:00,3:00:00,On Time,No delay,0,2328,Weekday
Manchester Piccadilly to Sheffield,1/16/2024,2:45:00,Manchester Piccadilly,Sheffield,3:30:00,3:30:00,On Time,No delay,0,2329,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,5:45:00,Manchester Piccadilly,Liverpool Lime Street,6:15:00,6:15:00,On Time,No delay,0,2330,Weekday
Reading to Oxford,1/15/2024,6:15:00,Reading,Oxford,6:40:00,6:40:00,On Time,No delay,0,2331,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,6:30:00,Manchester Piccadilly,Liverpool Lime Street,7:00:00,7:00:00,On Time,No delay,0,2332,Weekday
Birmingham New Street to London St Pancras,1/15/2024,6:30:00,Birmingham New Street,London St Pancras,7:50:00,7:50:00,On Time,No delay,0,2333,Weekday
York to Doncaster,1/15/2024,6:30:00,York,Doncaster,7:00:00,7:00:00,On Time,No delay,0,2334,Weekday
Birmingham New Street to London Kings Cross,1/15/2024,6:30:00,Birmingham New Street,London Kings Cross,8:00:00,8:00:00,On Time,No delay,0,2335,Weekday
London St Pancras to Birmingham New Street,1/15/2024,6:45:00,London St Pancras,Birmingham New Street,8:05:00,8:05:00,On Time,No delay,0,2336,Weekday
London Euston to Birmingham New Street,1/16/2024,3:45:00,London Euston,Birmingham New Street,5:05:00,5:05:00,On Time,No delay,0,2337,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,4:15:00,Manchester Piccadilly,Liverpool Lime Street,4:45:00,4:45:00,On Time,No delay,0,2338,Weekday
London Euston to Birmingham New Street,1/16/2024,4:15:00,London Euston,Birmingham New Street,5:35:00,5:35:00,On Time,No delay,0,2339,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,4:15:00,Liverpool Lime Street,Manchester Piccadilly,4:45:00,4:45:00,On Time,No delay,0,2340,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/15/2024,7:15:00,Liverpool Lime Street,Manchester Piccadilly,7:45:00,7:45:00,On Time,No delay,0,2341,Weekday
Birmingham New Street to London St Pancras,1/16/2024,4:30:00,Birmingham New Street,London St Pancras,5:50:00,5:50:00,On Time,No delay,0,2342,Weekday
London St Pancras to Birmingham New Street,1/16/2024,4:30:00,London St Pancras,Birmingham New Street,5:50:00,5:50:00,On Time,No delay,0,2343,Weekday
London Paddington to Reading,1/15/2024,7:30:00,London Paddington,Reading,8:30:00,8:30:00,On Time,No delay,0,2344,Weekday
London Kings Cross to York,1/15/2024,7:30:00,London Kings Cross,York,9:20:00,9:20:00,On Time,No delay,0,2345,Weekday
Manchester Piccadilly to London Euston,1/15/2024,8:00:00,Manchester Piccadilly,London Euston,9:50:00,10:34:00,Delayed,Weather Conditions,44,2346,Weekday
Liverpool Lime Street to Sheffield,1/16/2024,5:00:00,Liverpool Lime Street,Sheffield,6:15:00,6:15:00,On Time,No delay,0,2347,Weekday
London Euston to Birmingham New Street,1/16/2024,5:15:00,London Euston,Birmingham New Street,6:35:00,6:35:00,On Time,No delay,0,2348,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/15/2024,8:45:00,Liverpool Lime Street,Manchester Piccadilly,9:15:00,9:15:00,On Time,No delay,0,2349,Weekday
London Kings Cross to York,1/15/2024,8:45:00,London Kings Cross,York,10:35:00,,Cancelled,Signal Failure,,2350,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,5:45:00,Liverpool Lime Street,Manchester Piccadilly,6:15:00,6:42:00,Delayed,Signal Failure,27,2351,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,6:00:00,Manchester Piccadilly,Liverpool Lime Street,6:30:00,6:30:00,On Time,No delay,0,2352,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,9:00:00,Manchester Piccadilly,Liverpool Lime Street,9:30:00,9:30:00,On Time,No delay,0,2353,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,6:15:00,Manchester Piccadilly,Liverpool Lime Street,6:45:00,6:45:00,On Time,No delay,0,2354,Weekday
London Paddington to Reading,1/16/2024,6:15:00,London Paddington,Reading,7:15:00,7:15:00,On Time,No delay,0,2355,Weekday
Birmingham New Street to London St Pancras,1/16/2024,6:30:00,Birmingham New Street,London St Pancras,7:50:00,7:50:00,On Time,No delay,0,2356,Weekday
York to Doncaster,1/16/2024,6:30:00,York,Doncaster,7:00:00,7:00:00,On Time,No delay,0,2357,Weekday
London St Pancras to Birmingham New Street,1/16/2024,6:30:00,London St Pancras,Birmingham New Street,7:50:00,7:50:00,On Time,No delay,0,2358,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,6:30:00,Manchester Piccadilly,Liverpool Lime Street,7:00:00,7:00:00,On Time,No delay,0,2359,Weekday
London Euston to Birmingham New Street,1/16/2024,6:30:00,London Euston,Birmingham New Street,7:50:00,7:50:00,On Time,No delay,0,2360,Weekday
Birmingham New Street to Nuneaton,1/16/2024,6:30:00,Birmingham New Street,Nuneaton,6:50:00,6:50:00,On Time,No delay,0,2361,Weekday
London Kings Cross to York,1/16/2024,6:45:00,London Kings Cross,York,8:35:00,8:35:00,On Time,No delay,0,2362,Weekday
London Kings Cross to York,1/16/2024,7:45:00,London Kings Cross,York,9:35:00,9:35:00,On Time,No delay,0,2363,Weekday
London Paddington to Reading,1/16/2024,7:45:00,London Paddington,Reading,8:45:00,8:45:00,On Time,No delay,0,2364,Weekday
London Paddington to Oxford,1/16/2024,7:45:00,London Paddington,Oxford,9:15:00,9:15:00,On Time,No delay,0,2365,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,6:45:00,Liverpool Lime Street,Manchester Piccadilly,7:15:00,,Cancelled,Traffic,,2366,Weekday
London Kings Cross to York,1/15/2024,10:30:00,London Kings Cross,York,12:20:00,12:20:00,On Time,No delay,0,2367,Weekday
Reading to Swindon,1/16/2024,7:30:00,Reading,Swindon,8:15:00,8:15:00,On Time,No delay,0,2368,Weekday
York to Peterborough,1/16/2024,7:30:00,York,Peterborough,8:40:00,8:40:00,On Time,No delay,0,2369,Weekday
London Kings Cross to York,1/16/2024,7:30:00,London Kings Cross,York,9:20:00,9:20:00,On Time,No delay,0,2370,Weekday
York to Doncaster,2/2/2024,7:30:00,York,Doncaster,8:00:00,8:00:00,On Time,No delay,0,2371,Weekday
London St Pancras to Birmingham New Street,1/16/2024,7:45:00,London St Pancras,Birmingham New Street,9:05:00,9:05:00,On Time,No delay,0,2372,Weekday
London Paddington to Reading,1/16/2024,8:00:00,London Paddington,Reading,9:00:00,9:00:00,On Time,No delay,0,2373,Weekday
Liverpool Lime Street to London Euston,1/16/2024,8:00:00,Liverpool Lime Street,London Euston,10:15:00,10:15:00,On Time,No delay,0,2374,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,11:00:00,Manchester Piccadilly,Liverpool Lime Street,11:30:00,12:35:00,Delayed,Staff Shortage,65,2375,Weekday
London Euston to Manchester Piccadilly,1/16/2024,8:00:00,London Euston,Manchester Piccadilly,9:50:00,9:50:00,On Time,No delay,0,2376,Weekday
Liverpool Lime Street to London Euston,2/1/2024,8:00:00,Liverpool Lime Street,London Euston,10:15:00,11:08:00,Delayed,Weather Conditions,53,2377,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,8:00:00,Manchester Piccadilly,Liverpool Lime Street,8:30:00,8:30:00,On Time,No delay,0,2378,Weekday
London Kings Cross to York,1/16/2024,8:00:00,London Kings Cross,York,9:50:00,9:50:00,On Time,No delay,0,2379,Weekday
Manchester Piccadilly to Sheffield,2/2/2024,8:15:00,Manchester Piccadilly,Sheffield,9:00:00,9:00:00,On Time,No delay,0,2380,Weekday
Manchester Piccadilly to Liverpool Lime Street,2/3/2024,8:15:00,Manchester Piccadilly,Liverpool Lime Street,8:45:00,8:45:00,On Time,No delay,0,2381,Weekend
London Euston to Manchester Piccadilly,1/16/2024,7:45:00,London Euston,Manchester Piccadilly,9:35:00,9:35:00,On Time,No delay,0,2382,Weekday
London Kings Cross to York,1/15/2024,11:45:00,London Kings Cross,York,13:35:00,13:35:00,On Time,No delay,0,2383,Weekday
London Paddington to Reading,1/16/2024,8:45:00,London Paddington,Reading,9:45:00,9:45:00,On Time,No delay,0,2384,Weekday
London St Pancras to Birmingham New Street,1/16/2024,9:00:00,London St Pancras,Birmingham New Street,10:20:00,10:20:00,On Time,No delay,0,2385,Weekday
London Paddington to Reading,1/16/2024,9:00:00,London Paddington,Reading,10:00:00,10:00:00,On Time,No delay,0,2386,Weekday
London St Pancras to Birmingham New Street,1/15/2024,12:00:00,London St Pancras,Birmingham New Street,13:20:00,13:20:00,On Time,No delay,0,2387,Weekday
London Euston to Birmingham New Street,1/16/2024,9:30:00,London Euston,Birmingham New Street,10:50:00,,Cancelled,Weather Conditions,,2388,Weekday
London Kings Cross to York,1/16/2024,9:45:00,London Kings Cross,York,11:35:00,11:35:00,On Time,No delay,0,2389,Weekday
London St Pancras to Birmingham New Street,1/15/2024,13:15:00,London St Pancras,Birmingham New Street,14:35:00,14:35:00,On Time,No delay,0,2390,Weekday
London Euston to Birmingham New Street,1/15/2024,13:15:00,London Euston,Birmingham New Street,14:35:00,14:35:00,On Time,No delay,0,2391,Weekday
London St Pancras to Birmingham New Street,2/6/2024,10:30:00,London St Pancras,Birmingham New Street,11:50:00,11:50:00,On Time,No delay,0,2392,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,13:30:00,Manchester Piccadilly,Liverpool Lime Street,14:00:00,14:00:00,On Time,No delay,0,2393,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,10:30:00,Liverpool Lime Street,Manchester Piccadilly,11:00:00,11:00:00,On Time,No delay,0,2394,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,10:45:00,Manchester Piccadilly,Liverpool Lime Street,11:15:00,11:15:00,On Time,No delay,0,2395,Weekday
Manchester Piccadilly to London Paddington,1/15/2024,13:45:00,Manchester Piccadilly,London Paddington,16:00:00,16:00:00,On Time,No delay,0,2396,Weekday
York to Edinburgh,1/16/2024,11:00:00,York,Edinburgh,13:30:00,13:30:00,On Time,No delay,0,2397,Weekday
London Euston to Birmingham New Street,1/16/2024,11:00:00,London Euston,Birmingham New Street,12:20:00,13:02:00,Delayed,Staff Shortage,42,2398,Weekday
London Paddington to Reading,1/15/2024,14:00:00,London Paddington,Reading,15:00:00,15:00:00,On Time,No delay,0,2399,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,11:00:00,Manchester Piccadilly,Liverpool Lime Street,11:30:00,13:46:00,Delayed,Staff Shortage,136,2400,Weekday
London Euston to Birmingham New Street,1/16/2024,11:15:00,London Euston,Birmingham New Street,12:35:00,12:35:00,On Time,No delay,0,2401,Weekday
London St Pancras to Birmingham New Street,1/15/2024,14:15:00,London St Pancras,Birmingham New Street,15:35:00,15:35:00,On Time,No delay,0,2402,Weekday
London St Pancras to Birmingham New Street,1/16/2024,11:15:00,London St Pancras,Birmingham New Street,12:35:00,12:35:00,On Time,No delay,0,2403,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,11:15:00,Liverpool Lime Street,Manchester Piccadilly,11:45:00,11:45:00,On Time,No delay,0,2404,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,11:15:00,Manchester Piccadilly,Liverpool Lime Street,11:45:00,,Cancelled,Staff Shortage,,2405,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,14:30:00,Manchester Piccadilly,Liverpool Lime Street,15:00:00,15:00:00,On Time,No delay,0,2406,Weekday
London Kings Cross to York,1/16/2024,11:30:00,London Kings Cross,York,13:20:00,13:20:00,On Time,No delay,0,2407,Weekday
London Kings Cross to York,1/16/2024,9:30:00,London Kings Cross,York,11:20:00,11:20:00,On Time,No delay,0,2408,Weekday
London St Pancras to Birmingham New Street,1/15/2024,15:15:00,London St Pancras,Birmingham New Street,16:35:00,16:35:00,On Time,No delay,0,2409,Weekday
York to Edinburgh,1/15/2024,15:45:00,York,Edinburgh,18:15:00,18:15:00,On Time,No delay,0,2410,Weekday
London Kings Cross to York,1/15/2024,16:00:00,London Kings Cross,York,17:50:00,17:50:00,On Time,No delay,0,2411,Weekday
London St Pancras to Leicester,1/15/2024,16:15:00,London St Pancras,Leicester,17:15:00,17:15:00,On Time,No delay,0,2412,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,13:15:00,Manchester Piccadilly,Liverpool Lime Street,13:45:00,13:45:00,On Time,No delay,0,2413,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,16:15:00,Manchester Piccadilly,Liverpool Lime Street,16:45:00,16:45:00,On Time,No delay,0,2414,Weekday
London St Pancras to Birmingham New Street,1/16/2024,13:15:00,London St Pancras,Birmingham New Street,14:35:00,14:35:00,On Time,No delay,0,2415,Weekday
Birmingham New Street to Manchester Piccadilly,1/15/2024,16:15:00,Birmingham New Street,Manchester Piccadilly,17:35:00,17:35:00,On Time,No delay,0,2416,Weekday
London Paddington to Reading,2/5/2024,13:30:00,London Paddington,Reading,14:30:00,14:30:00,On Time,No delay,0,2417,Weekday
Manchester Piccadilly to London Kings Cross,1/15/2024,16:30:00,Manchester Piccadilly,London Kings Cross,18:45:00,18:45:00,On Time,No delay,0,2418,Weekday
London Paddington to Reading,1/15/2024,16:30:00,London Paddington,Reading,17:30:00,17:30:00,On Time,No delay,0,2419,Weekday
Manchester Piccadilly to London Paddington,1/16/2024,13:45:00,Manchester Piccadilly,London Paddington,16:00:00,16:00:00,On Time,No delay,0,2420,Weekday
London Paddington to Reading,1/16/2024,13:45:00,London Paddington,Reading,14:45:00,14:45:00,On Time,No delay,0,2421,Weekday
Liverpool Lime Street to Sheffield,1/16/2024,13:45:00,Liverpool Lime Street,Sheffield,15:00:00,15:00:00,On Time,No delay,0,2422,Weekday
London Paddington to Reading,1/15/2024,17:00:00,London Paddington,Reading,18:00:00,18:00:00,On Time,No delay,0,2423,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,17:15:00,Manchester Piccadilly,Liverpool Lime Street,17:45:00,17:45:00,On Time,No delay,0,2424,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/15/2024,17:15:00,Liverpool Lime Street,Manchester Piccadilly,17:45:00,17:45:00,On Time,No delay,0,2425,Weekday
London St Pancras to Birmingham New Street,1/16/2024,14:15:00,London St Pancras,Birmingham New Street,15:35:00,15:35:00,On Time,No delay,0,2426,Weekday
London Paddington to Manchester Piccadilly,1/16/2024,14:15:00,London Paddington,Manchester Piccadilly,16:30:00,16:30:00,On Time,No delay,0,2427,Weekday
Oxford to Bristol Temple Meads,1/16/2024,14:15:00,Oxford,Bristol Temple Meads,15:30:00,15:49:00,Delayed,Signal Failure,19,2428,Weekday
London Paddington to Reading,1/16/2024,14:30:00,London Paddington,Reading,15:30:00,15:30:00,On Time,No delay,0,2429,Weekday
Liverpool Lime Street to London Euston,1/15/2024,17:30:00,Liverpool Lime Street,London Euston,19:45:00,20:01:00,Delayed,Technical Issue,16,2430,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,14:45:00,Liverpool Lime Street,Manchester Piccadilly,15:15:00,15:15:00,On Time,No delay,0,2431,Weekday
London Paddington to Reading,1/16/2024,15:00:00,London Paddington,Reading,16:00:00,16:00:00,On Time,No delay,0,2432,Weekday
London Paddington to Reading,1/16/2024,15:30:00,London Paddington,Reading,16:30:00,16:30:00,On Time,No delay,0,2433,Weekday
London Paddington to Reading,1/16/2024,15:45:00,London Paddington,Reading,16:45:00,16:45:00,On Time,No delay,0,2434,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,18:45:00,Manchester Piccadilly,Liverpool Lime Street,19:15:00,19:15:00,On Time,No delay,0,2435,Weekday
Liverpool Lime Street to Crewe,1/15/2024,18:45:00,Liverpool Lime Street,Crewe,19:20:00,19:20:00,On Time,No delay,0,2436,Weekday
London Euston to Birmingham New Street,1/16/2024,16:00:00,London Euston,Birmingham New Street,17:20:00,17:20:00,On Time,No delay,0,2437,Weekday
London Kings Cross to York,1/16/2024,16:00:00,London Kings Cross,York,17:50:00,17:50:00,On Time,No delay,0,2438,Weekday
Birmingham New Street to Manchester Piccadilly,1/16/2024,16:15:00,Birmingham New Street,Manchester Piccadilly,17:35:00,,Cancelled,Staff Shortage,,2439,Weekday
London Euston to Birmingham New Street,1/16/2024,16:15:00,London Euston,Birmingham New Street,17:35:00,17:35:00,On Time,No delay,0,2440,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/15/2024,19:15:00,Manchester Piccadilly,Liverpool Lime Street,19:45:00,19:45:00,On Time,No delay,0,2441,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,16:15:00,Manchester Piccadilly,Liverpool Lime Street,16:45:00,16:45:00,On Time,No delay,0,2442,Weekday
Liverpool Lime Street to London Euston,1/16/2024,16:45:00,Liverpool Lime Street,London Euston,19:00:00,19:00:00,On Time,No delay,0,2443,Weekday
London Euston to Birmingham New Street,1/15/2024,20:00:00,London Euston,Birmingham New Street,21:20:00,21:20:00,On Time,No delay,0,2444,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/15/2024,20:00:00,Liverpool Lime Street,Manchester Piccadilly,20:30:00,20:30:00,On Time,No delay,0,2445,Weekday
London St Pancras to Birmingham New Street,1/16/2024,17:00:00,London St Pancras,Birmingham New Street,18:20:00,,Cancelled,Weather Conditions,,2446,Weekday
London Kings Cross to York,1/16/2024,17:15:00,London Kings Cross,York,19:05:00,19:05:00,On Time,No delay,0,2447,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,17:15:00,Liverpool Lime Street,Manchester Piccadilly,17:45:00,17:45:00,On Time,No delay,0,2448,Weekday
London Euston to Birmingham New Street,1/15/2024,20:30:00,London Euston,Birmingham New Street,21:50:00,21:50:00,On Time,No delay,0,2449,Weekday
London St Pancras to Birmingham New Street,1/15/2024,20:30:00,London St Pancras,Birmingham New Street,21:50:00,21:50:00,On Time,No delay,0,2450,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,18:45:00,Manchester Piccadilly,Liverpool Lime Street,19:15:00,19:15:00,On Time,No delay,0,2451,Weekday
London St Pancras to Leicester,1/16/2024,18:45:00,London St Pancras,Leicester,19:45:00,19:45:00,On Time,No delay,0,2452,Weekday
London St Pancras to Birmingham New Street,1/16/2024,17:45:00,London St Pancras,Birmingham New Street,19:05:00,19:05:00,On Time,No delay,0,2453,Weekday
London Euston to Birmingham New Street,1/16/2024,17:45:00,London Euston,Birmingham New Street,19:05:00,19:05:00,On Time,No delay,0,2454,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,17:45:00,Manchester Piccadilly,Liverpool Lime Street,18:15:00,19:12:00,Delayed,Staff Shortage,57,2455,Weekday
Reading to Swindon,1/16/2024,17:45:00,Reading,Swindon,18:30:00,18:30:00,On Time,No delay,0,2456,Weekday
London Euston to Birmingham New Street,1/15/2024,21:15:00,London Euston,Birmingham New Street,22:35:00,22:35:00,On Time,No delay,0,2457,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/15/2024,21:30:00,Liverpool Lime Street,Manchester Piccadilly,22:00:00,22:00:00,On Time,No delay,0,2458,Weekday
London Euston to Birmingham New Street,1/16/2024,18:30:00,London Euston,Birmingham New Street,19:50:00,19:50:00,On Time,No delay,0,2459,Weekday
London Kings Cross to York,1/15/2024,21:30:00,London Kings Cross,York,23:20:00,23:20:00,On Time,No delay,0,2460,Weekday
London St Pancras to Birmingham New Street,1/16/2024,18:45:00,London St Pancras,Birmingham New Street,20:05:00,20:05:00,On Time,No delay,0,2461,Weekday
Birmingham New Street to Wolverhampton,1/16/2024,18:45:00,Birmingham New Street,Wolverhampton,19:00:00,19:00:00,On Time,No delay,0,2462,Weekday
London Kings Cross to York,1/16/2024,17:45:00,London Kings Cross,York,19:35:00,19:35:00,On Time,No delay,0,2463,Weekday
Birmingham New Street to Tamworth,1/16/2024,18:45:00,Birmingham New Street,Tamworth,19:05:00,19:05:00,On Time,No delay,0,2464,Weekday
London Paddington to Reading,1/16/2024,17:45:00,London Paddington,Reading,18:45:00,18:45:00,On Time,No delay,0,2465,Weekday
Birmingham New Street to Nuneaton,1/16/2024,18:45:00,Birmingham New Street,Nuneaton,19:05:00,19:05:00,On Time,No delay,0,2466,Weekday
London St Pancras to Birmingham New Street,1/16/2024,19:00:00,London St Pancras,Birmingham New Street,20:20:00,20:20:00,On Time,No delay,0,2467,Weekday
Birmingham New Street to Liverpool Lime Street,1/15/2024,22:15:00,Birmingham New Street,Liverpool Lime Street,23:45:00,23:45:00,On Time,No delay,0,2468,Weekday
London Kings Cross to York,1/15/2024,22:15:00,London Kings Cross,York,0:05:00,0:05:00,On Time,No delay,0,2469,Weekday
London Kings Cross to York,1/16/2024,20:00:00,London Kings Cross,York,21:50:00,21:50:00,On Time,No delay,0,2470,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,20:15:00,Manchester Piccadilly,Liverpool Lime Street,20:45:00,20:45:00,On Time,No delay,0,2471,Weekday
Manchester Piccadilly to Liverpool Lime Street,2/5/2024,20:15:00,Manchester Piccadilly,Liverpool Lime Street,20:45:00,20:45:00,On Time,No delay,0,2472,Weekday
London Euston to Manchester Piccadilly,1/16/2024,20:15:00,London Euston,Manchester Piccadilly,22:05:00,22:05:00,On Time,No delay,0,2473,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,0:00:00,Manchester Piccadilly,Liverpool Lime Street,0:30:00,0:30:00,On Time,No delay,0,2474,Weekday
Birmingham New Street to Liverpool Lime Street,1/16/2024,0:00:00,Birmingham New Street,Liverpool Lime Street,1:30:00,1:30:00,On Time,No delay,0,2475,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,0:30:00,Liverpool Lime Street,Manchester Piccadilly,1:00:00,1:00:00,On Time,No delay,0,2476,Weekday
London Euston to Birmingham New Street,1/16/2024,21:30:00,London Euston,Birmingham New Street,22:50:00,22:50:00,On Time,No delay,0,2477,Weekday
London Euston to Manchester Piccadilly,1/16/2024,22:15:00,London Euston,Manchester Piccadilly,0:05:00,0:05:00,On Time,No delay,0,2478,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/16/2024,22:30:00,Liverpool Lime Street,Manchester Piccadilly,23:00:00,23:00:00,On Time,No delay,0,2479,Weekday
Manchester Piccadilly to Leeds,1/17/2024,22:30:00,Manchester Piccadilly,Leeds,23:15:00,23:15:00,On Time,No delay,0,2480,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/17/2024,22:30:00,Liverpool Lime Street,Manchester Piccadilly,23:00:00,23:00:00,On Time,No delay,0,2481,Weekday
Manchester Piccadilly to Liverpool Lime Street,1/16/2024,1:30:00,Manchester Piccadilly,Liverpool Lime Street,2:00:00,2:51:00,Delayed,Signal Failure,51,2482,Weekday
Liverpool Lime Street to Manchester Piccadilly,1/17/2024,23:45:00,Liverpool Lime Street,Manchester Piccadilly,0:15:00,0:15:00,On Time,No delay,0,2483,Weekday
